"","barcode","LENGTH_KB"
"TCGA-AR-A24L","TCGA-AR-A24L",984409.902
"TCGA-AR-A24M","TCGA-AR-A24M",452676.401
"TCGA-AR-A24N","TCGA-AR-A24N",316307.554
"TCGA-AR-A24O","TCGA-AR-A24O",96234.657
"TCGA-AR-A24P","TCGA-AR-A24P",453826.373
"TCGA-AR-A24Q","TCGA-AR-A24Q",1890727.528
"TCGA-AR-A24R","TCGA-AR-A24R",975117.686
"TCGA-AR-A24S","TCGA-AR-A24S",976510.982
"TCGA-AR-A24T","TCGA-AR-A24T",621794.601
"TCGA-AR-A24U","TCGA-AR-A24U",475099.625
"TCGA-AR-A24V","TCGA-AR-A24V",773883.485
"TCGA-AR-A24W","TCGA-AR-A24W",297320.895
"TCGA-AR-A24X","TCGA-AR-A24X",203884.312
"TCGA-AR-A24Z","TCGA-AR-A24Z",1438914.213
"TCGA-AR-A250","TCGA-AR-A250",1109511.124
"TCGA-AR-A251","TCGA-AR-A251",1912398.783
"TCGA-AR-A252","TCGA-AR-A252",46933.962
"TCGA-AR-A254","TCGA-AR-A254",684995.578
"TCGA-AR-A255","TCGA-AR-A255",1901256.062
"TCGA-AR-A256","TCGA-AR-A256",1931442.895
"TCGA-AR-A2LE","TCGA-AR-A2LE",202659.353
"TCGA-AR-A2LJ","TCGA-AR-A2LJ",253339.844
"TCGA-AR-A2LK","TCGA-AR-A2LK",1885270.914
"TCGA-AR-A2LM","TCGA-AR-A2LM",287262.597
"TCGA-AR-A2LN","TCGA-AR-A2LN",283653.369
"TCGA-AR-A2LO","TCGA-AR-A2LO",647798.215
"TCGA-AR-A5QM","TCGA-AR-A5QM",913398.049
"TCGA-AR-A5QN","TCGA-AR-A5QN",581027.853
"TCGA-AR-A5QP","TCGA-AR-A5QP",366417.956
"TCGA-AR-A5QQ","TCGA-AR-A5QQ",1185.094
"TCGA-B6-A0I1","TCGA-B6-A0I1",1081923.423
"TCGA-B6-A0IH","TCGA-B6-A0IH",574277.81
"TCGA-B6-A0RH","TCGA-B6-A0RH",797896.042
"TCGA-B6-A0RQ","TCGA-B6-A0RQ",38747.171
"TCGA-B6-A0WS","TCGA-B6-A0WS",655680.358
"TCGA-B6-A0X0","TCGA-B6-A0X0",326873.36
"TCGA-B6-A1KC","TCGA-B6-A1KC",1514872.975
"TCGA-B6-A1KF","TCGA-B6-A1KF",1594913.22
"TCGA-B6-A1KI","TCGA-B6-A1KI",310452.75
"TCGA-B6-A1KN","TCGA-B6-A1KN",825530.7
"TCGA-B6-A2IU","TCGA-B6-A2IU",641731.423
"TCGA-B6-A3ZX","TCGA-B6-A3ZX",130851.056
"TCGA-B6-A400","TCGA-B6-A400",979932.67
"TCGA-B6-A401","TCGA-B6-A401",869570.4
"TCGA-B6-A402","TCGA-B6-A402",1603706.437
"TCGA-B6-A408","TCGA-B6-A408",718919.498
"TCGA-B6-A409","TCGA-B6-A409",1623241.535
"TCGA-B6-A40B","TCGA-B6-A40B",591435.846
"TCGA-B6-A40C","TCGA-B6-A40C",583821.533
"TCGA-BH-A0AU","TCGA-BH-A0AU",1234678.049
"TCGA-BH-A0AV","TCGA-BH-A0AV",1749722.335
"TCGA-BH-A0AZ","TCGA-BH-A0AZ",828182.07
"TCGA-BH-A0B0","TCGA-BH-A0B0",680018.198
"TCGA-BH-A0B5","TCGA-BH-A0B5",664245.054
"TCGA-BH-A0B7","TCGA-BH-A0B7",362974.344
"TCGA-BH-A0BF","TCGA-BH-A0BF",836991.308
"TCGA-BH-A0BG","TCGA-BH-A0BG",1225284.359
